total_cost,holding_cost,stockout_cost,ordering_cost,overflow_cost,service_penalty_shaping,fill_rate,stockout_units,demand_units,n_order_events,avg_inventory,inventory_std,episode,policy
1619631.8307433128,1143575.639038086,321723.5502624512,120670.0,33662.641442775726,114922.71977233887,0.901807575645318,32172.355070114136,327646.0,24134,3133.0839425700983,756.2076174204847,0,IPPO
1601409.5714130402,1102866.3762207031,336603.62673950195,125360.0,36579.56845283508,108734.35569763184,0.9037951000060831,33660.36281967163,349882.0,25072,3021.5517156731594,759.88385553011,1,IPPO
1594614.5872001648,1111815.0311279297,325316.7225341797,123790.0,33692.83353805542,106174.91204833984,0.9066088906004901,32531.67226600647,348338.0,24758,3046.0685784326843,753.4878830957406,2,IPPO
1616352.9179645777,1127758.7854003906,324491.87353515625,122370.0,41732.2590290308,110565.19560241699,0.9032568886968868,32449.18742084503,335416.0,24474,3089.7500969873718,729.4009376374254,3,IPPO
1586618.3026061058,1113446.087890625,319143.4284057617,124155.0,29873.786309719086,102317.45358276367,0.9086389231570777,31914.342723846436,349321.0,24831,3050.5372270976027,773.4578748098796,4,IPPO
1601230.340139985,1110652.6177978516,331131.71810150146,122995.0,36451.00424063206,114290.80851745605,0.9041520339395972,33113.171922683716,345476.0,24599,3042.8838843776757,763.2683477322115,5,IPPO
1591448.8472058773,1109318.7479248047,324407.1948852539,123300.0,34422.90439581871,98416.87129974365,0.906210335482831,32440.719480514526,345888.0,24660,3039.229446369328,764.6703042502785,6,IPPO
1647731.9095668793,1161556.1196289062,315960.1070098877,121420.0,48795.68292808533,103469.00012207031,0.9037771896834107,31596.010663986206,328363.0,24284,3182.34553322988,868.0162227825696,7,IPPO
1623499.4436998367,1134517.62890625,330161.888671875,121700.0,37119.92612171173,115471.60348510742,0.902832403697899,33016.18887710571,339786.0,24340,3108.2674764554795,766.7513648813937,8,IPPO
1585975.0936282873,1103019.6514892578,325170.96603393555,124260.0,33524.476105093956,101707.6072845459,0.9069134215735059,32517.096662521362,349321.0,24852,3021.9716479157746,756.0144152882252,9,IPPO
1600666.5713112354,1115998.4426269531,327595.9939727783,124300.0,32772.13471150398,99854.23406982422,0.9060389920620167,32759.599378585815,348651.0,24860,3057.5299797998714,784.4986366414264,10,IPPO
1613421.8316161633,1136848.2923583984,316640.53717041016,122080.0,37853.00208735466,97558.10931396484,0.9055134366450831,31664.053651809692,335117.0,24416,3114.652855776434,761.5082976322572,11,IPPO
1616610.7426462173,1114833.6419677734,336343.59855651855,124530.0,40903.502121925354,106243.35594177246,0.9036375204576365,33634.35985946655,349040.0,24906,3054.3387451171875,763.9041501056313,12,IPPO
1636777.1490952969,1152402.1962890625,319573.00218200684,121385.0,43416.950624227524,116541.9418182373,0.9025231428105202,31957.300245285034,327845.0,24277,3157.266291202911,853.2335808810525,13,IPPO
1596943.773077011,1110057.34765625,327805.306640625,123520.0,35561.11878013611,100241.31601715088,0.9058106513059931,32780.53064727783,348028.0,24704,3041.253007277397,754.7683350511344,14,IPPO
1591027.132179737,1097986.5518798828,329996.4051208496,123775.0,39269.17517900467,106631.7501449585,0.9050790712381289,32999.64056777954,347654.0,24755,3008.182333917487,754.2836464632817,15,IPPO
1596428.787489891,1106531.4575195312,327755.1194152832,124160.0,37982.2105550766,105037.00999450684,0.905849689716402,32775.511865615845,348119.0,24832,3031.5930343000855,753.101762324899,16,IPPO
1554045.3165340424,1074070.7283935547,325070.27432250977,125770.0,29134.313817977905,105738.33653259277,0.9084231701112685,32507.027305603027,354970.0,25154,2942.6595298453553,646.8090964754692,17,IPPO
1605727.9060182571,1113714.4442138672,328944.3051300049,125360.0,37709.15667438507,105993.13958740234,0.9060102735007135,32894.430490493774,349979.0,25072,3051.272449901006,781.1170147893547,18,IPPO
1597261.7103390694,1120930.9724121094,320248.5169830322,121670.0,34412.220943927765,107184.45361328125,0.9055043722417289,32024.851734161377,338903.0,24334,3071.0437600331766,724.9248187377019,19,IPPO
1601176.2921290398,1110588.16796875,325727.0858306885,125230.0,39631.03832960129,109736.11065673828,0.9067795728401847,32572.708776474,349416.0,25046,3042.7073095034248,766.5573111654893,20,IPPO
1652518.2264585495,1162583.0050048828,319647.5357055664,122110.0,48177.68574810028,118744.49778747559,0.9026382053233803,31964.753448486328,328309.0,24422,3185.158917821597,865.8644555804017,21,IPPO
1611106.772466302,1110663.419555664,336291.0546875,125490.0,38662.298223137856,131732.00790405273,0.9038041549019609,33629.105487823486,349590.0,25098,3042.913478234696,808.3372261675045,22,IPPO
1601065.801524043,1132785.1551513672,313819.953704834,121525.0,32935.69266784191,103122.54934692383,0.9057071055177477,31381.99538421631,332814.0,24305,3103.5209730174442,735.259700774196,23,IPPO
1594444.1563048363,1107937.3092041016,328013.75732421875,123975.0,34518.08977651596,99804.64854431152,0.9057003587091784,32801.37582588196,347842.0,24795,3035.4446827509632,779.8863222632958,24,IPPO
1592038.6354749203,1106561.0541992188,327968.8579711914,123880.0,33628.72330451012,100586.41287231445,0.9060088788735767,32796.88584136963,348936.0,24776,3031.67412109375,744.0440556213067,25,IPPO
1602400.9400429726,1112301.3822021484,330156.1265563965,123960.0,35983.43128442764,107363.56655883789,0.9051212793941202,33015.61256027222,347977.0,24792,3047.401047129174,756.3852046706024,26,IPPO
1599720.9745471478,1110024.8244628906,327201.33882141113,124025.0,38469.81126284599,104964.12689971924,0.9060611182076196,32720.13373374939,348313.0,24805,3041.1639026380567,769.3660152341722,27,IPPO
1594252.2779102325,1106881.2971191406,326364.3801422119,124235.0,36771.600648880005,100589.32886505127,0.9061750725810102,32636.438053131104,347844.0,24847,3032.5514989565495,786.4298696610078,28,IPPO
1591100.0634806156,1107886.6628417969,324083.92741394043,123825.0,35304.47322487831,99043.50130462646,0.9068301333876961,32408.392742156982,347842.0,24765,3035.305925593964,765.6676015040074,29,IPPO
1767965.8904528618,828527.4404296875,822016.1942443848,90525.0,26897.25577878952,1613069.3903961182,0.749114533949564,82201.61940956116,327646.0,18105,2269.938192958048,614.5988844507664,0,EOQ
1760574.884218216,767476.2341308594,874250.2147521973,94020.0,24828.4353351593,1608300.2844543457,0.7501299821334435,87425.02159118652,349882.0,18804,2102.674614057149,519.774133770943,1,EOQ
1784960.9615540504,779806.4812011719,880377.3297729492,93685.0,31092.15057992935,1723177.0979919434,0.7472634824362695,88037.73305511475,348338.0,18737,2136.456112879923,537.5018374927539,2,EOQ
1780910.168252945,814656.6452636719,844571.3648376465,91690.0,29992.158151626587,1653330.3707733154,0.7482018254676531,84457.13650894165,335416.0,18338,2231.9360144210186,575.6686593232462,3,EOQ
1785525.2035663128,779441.7263183594,881513.1705627441,93800.0,30770.306685209274,1735312.1645507812,0.7476495333411418,88151.31736373901,349321.0,18760,2135.4567844338612,554.7283094831705,4,EOQ
1782140.2667355537,781938.8654785156,879146.1438598633,92605.0,28450.257397174835,1738405.5426635742,0.7455261318450283,87914.61407470703,345476.0,18521,2142.298261584974,539.9795925312521,5,EOQ
1775948.0213844776,783538.3197021484,870608.6028442383,92970.0,28831.098838090897,1708618.3732070923,0.7482975403622216,87060.8603591919,345888.0,18594,2146.6803279510914,542.3662215601328,6,EOQ
1771910.7777585983,825464.7856445312,828504.5631103516,90160.0,27781.429003715515,1740298.0362548828,0.7476863833144336,82850.45611572266,328363.0,18032,2261.5473579302225,588.6126698889217,7,EOQ
1775041.8293085098,792319.2836914062,862113.2854003906,91580.0,29029.26021671295,1701974.6774139404,0.7462775737683437,86211.32831954956,339786.0,18316,2170.7377635380994,544.5146428386485,8,EOQ
1789117.7310595512,781683.5981445312,880187.0,94125.0,33122.13291501999,1726608.5393066406,0.7480291757049587,88018.70031356812,349321.0,18825,2141.598899026113,560.6600558670385,9,EOQ
1777773.0752205849,781235.2515869141,875556.2403564453,93510.0,27471.583277225494,1725533.2617492676,0.7488731585477019,87555.62439918518,348651.0,18702,2140.3705522929154,557.7261079141559,10,EOQ
1775374.942198515,821229.9655761719,835531.5311584473,91495.0,27118.445463895798,1638837.4316101074,0.750674680988391,83553.15293121338,335117.0,18299,2249.9451111675944,581.8358833052082,11,EOQ
1799982.668282032,780945.9560546875,897647.4396362305,93375.0,28014.272591114044,1769520.7424926758,0.7428239060573941,89764.74382972717,349040.0,18675,2139.5779617936646,552.4513939133883,12,EOQ
1762119.567577839,821152.0538330078,821962.2367401123,90610.0,28395.27700471878,1748073.9771728516,0.749283278799113,82196.2234621048,327845.0,18122,2249.7316543370075,595.3223027532102,13,EOQ
1787610.1331071854,781246.1474609375,882039.1857910156,93355.0,30969.79985523224,1726461.1050872803,0.7465608557386391,88203.91849899292,348028.0,18671,2140.4004040025684,558.2473856481556,14,EOQ
1794860.2060370445,786049.5920410156,884447.2450866699,93265.0,31098.36890935898,1731611.4151306152,0.7455955505853892,88444.72445678711,347654.0,18653,2153.5605261397686,563.3693866033689,15,EOQ
1785018.758146286,782117.9639892578,878783.6265258789,93465.0,30652.167631149292,1723546.9273986816,0.7475622919196107,87878.36249923706,348119.0,18693,2142.788942436323,562.543617815706,16,EOQ
1788528.4140048027,773664.6828613281,889951.7735900879,95230.0,29681.95755338669,1614558.5703277588,0.7492881715903871,88995.1777305603,354970.0,19046,2119.6292681132277,564.7993276794876,17,EOQ
1760933.8408706188,764829.578125,873017.2882995605,94345.0,28741.974446058273,1658542.8887939453,0.7505515225181002,87301.72870063782,349979.0,18869,2095.4235017123287,510.0775598920037,18,EOQ
1775601.8943386078,803266.7177734375,851016.167892456,91810.0,29509.008672714233,1662514.809539795,0.7488909318260031,85101.61653137207,338903.0,18362,2200.7307336258564,554.5158183641703,19,EOQ
1772952.2385675907,770335.8037109375,880805.0829772949,93990.0,27821.35187935829,1784153.222076416,0.7479207929429585,88080.50821304321,349416.0,18798,2110.5090512628426,547.3313082836454,20,EOQ
1758441.906724453,814939.3715820312,825622.7100524902,90500.0,27379.825089931488,1670059.0801086426,0.7485226681066232,82562.27135658264,328309.0,18100,2232.7106070740583,559.954494767754,21,EOQ
1779048.7961568832,772290.9903564453,882832.6100463867,94200.0,29725.19575405121,1774134.3349761963,0.7474662863583174,88283.26095199585,349590.0,18840,2115.86572700396,546.4812094432444,22,EOQ
1770328.0100951195,818443.9765625,831798.9421081543,91385.0,28700.09142446518,1633993.773727417,0.7500709276439411,83179.89428710938,332814.0,18277,2242.3122645547946,577.9939650787336,23,EOQ
1795182.3507401943,784411.2155761719,887393.0940856934,93205.0,30173.041078329086,1734062.178741455,0.7448861565533618,88739.30953216553,347842.0,18641,2149.0718234963615,554.3047550884035,24,EOQ
1787349.769337654,781475.0177001953,883054.6676940918,93755.0,29065.083943367004,1751144.564956665,0.7469293313529645,88305.46683502197,348936.0,18751,2141.02744575396,556.6774891775983,25,EOQ
