total_cost,holding_cost,stockout_cost,ordering_cost,overflow_cost,service_penalty_shaping,fill_rate,stockout_units,demand_units,n_order_events,avg_inventory,inventory_std,episode,policy
1562555.0325102806,1074760.2154541016,340960.7475280762,121095.0,25739.069528102875,190257.83224487305,0.8960428477800555,34096.074699401855,327982.0,24219,2944.548535490689,914.3798507130971,0,IPPO
1561795.4947708845,1073850.2186279297,345847.7581176758,120700.0,21397.518025279045,195421.4144744873,0.8944797915606071,34584.77591705322,327755.0,24140,2942.055393501177,860.8716872860751,1,IPPO
1539354.9120428562,1059624.5686035156,335400.383895874,121105.0,23224.959543466568,181786.73489379883,0.8977462799792575,33540.03819656372,328008.0,24221,2903.0810098726456,861.9951632912947,2,IPPO
1554172.9035589695,1063941.2315673828,342478.0866699219,121490.0,26263.58532166481,193008.91943359375,0.8957838965495839,34247.808564186096,328623.0,24298,2914.9074837462545,871.6934016611198,3,IPPO
1552271.0792940855,1063850.548461914,339795.183303833,122025.0,26600.347528338432,188223.13021850586,0.8963419654597995,33979.51835441589,327804.0,24405,2914.659036881956,877.8625668927554,4,IPPO
1556376.6720151901,1064665.0637207031,344162.3042907715,121735.0,25814.304003715515,185444.80154418945,0.89502221928725,34416.23056221008,327843.0,24347,2916.890585536173,897.0858951569559,5,IPPO
1526811.4477665424,1039642.4768066406,346677.631439209,121730.0,18761.339520692825,189095.53872680664,0.8943934983769612,34667.763107299805,328273.0,24346,2848.335552894906,772.2660756983072,6,IPPO
1537271.1901917458,1048760.4636230469,345162.19970703125,121990.0,21358.526861667633,193213.03826904297,0.8956886155307537,34516.21987533569,330896.0,24398,2873.3163386932792,783.2769801696859,7,IPPO
1520542.720995903,1027810.6330566406,348526.5836791992,122360.0,21845.50426006317,191099.59741210938,0.8958779838431205,34852.65834617615,334729.0,24472,2815.919542620933,772.2284601414996,8,IPPO
1530397.9178974628,1037992.2633056641,346511.82971191406,122985.0,22908.82487988472,196826.83172607422,0.8969680720515687,34651.182847976685,336315.0,24597,2843.814420015518,804.588895103032,9,IPPO
1514204.3306136131,1024022.8558349609,345447.7838745117,123090.0,21643.690904140472,188211.9818725586,0.8981646868964299,34544.77858161926,339222.0,24618,2805.5420707807148,777.9598384557521,10,IPPO
1537210.6318044662,1030118.0093994141,354432.45599365234,124445.0,28215.16641139984,208353.01733398438,0.896580085753504,35443.24565124512,342712.0,24889,2822.24112164223,779.388100873444,11,IPPO
1508495.3272242546,1012229.4517822266,351604.02925109863,123950.0,20711.846190929413,188134.1019897461,0.8980553528352666,35160.40297317505,344897.0,24790,2773.231374745826,803.0429862070349,12,IPPO
1488768.1935374737,999416.0676269531,346450.6314086914,124175.0,18726.494501829147,180848.31396484375,0.8997840258114771,34645.06314086914,345704.0,24835,2738.1262126765837,781.8501262160343,13,IPPO
1493817.017522812,998543.078125,349764.15269470215,124515.0,20994.78670310974,188406.38290405273,0.898836368089654,34976.41526031494,345741.0,24903,2735.7344606164384,757.6603952223442,14,IPPO
1502626.2114815712,1003987.4736328125,353558.393951416,124100.0,20980.343897342682,179735.1716003418,0.897782405520778,35355.839319229126,345888.0,24820,2750.650612692637,793.4284614602986,15,IPPO
1508590.4905788898,1011479.5784912109,351462.8767089844,124790.0,20858.035378694534,182396.54446411133,0.8989590453801074,35146.2877368927,347842.0,24958,2771.1769273731807,824.349514287403,16,IPPO
1517356.7070384026,1016738.0921630859,357163.2591705322,124705.0,18750.355704784393,192788.15188598633,0.8973751367731213,35716.325899124146,348028.0,24941,2785.583814145441,759.922578205734,17,IPPO
1504409.7445232868,1007170.7092285156,350499.13681030273,124890.0,21849.89848446846,187757.4924621582,0.8992752004520086,35049.9135723114,347977.0,24978,2759.3718061055224,810.5653917245492,18,IPPO
1508343.846567154,1011532.1188964844,351202.75927734375,125215.0,20393.968393325806,190928.96298217773,0.8993820987137331,35120.27597236633,349046.0,25043,2771.3208736889983,809.1902713789449,19,IPPO
1511693.1302175522,1006254.1945800781,354294.42013549805,125640.0,25504.515501976013,193598.4305114746,0.8983813554269843,35429.44204902649,348651.0,25128,2756.8608070687073,794.7619982295695,20,IPPO
1510634.076501608,1012212.9700927734,354164.6997375488,124965.0,19291.40667128563,184268.7131652832,0.8986133961134252,35416.46985626221,349321.0,24993,2773.186219432256,776.7774411737101,21,IPPO
1510547.2937672138,1003669.3614501953,354316.1015472412,126125.0,26436.830769777298,196511.6353149414,0.8986275130733883,35431.61025810242,349519.0,25225,2749.7790724662887,797.1964422991464,22,IPPO
1515551.3487677574,1006466.4593505859,358607.2039489746,125960.0,24517.68546819687,194061.3682861328,0.8974030252703917,35860.72057723999,349530.0,25192,2757.442354385167,803.3121584983245,23,IPPO
1529712.661458969,1014901.146484375,362571.58839416504,126350.0,25889.926580429077,201052.5909729004,0.8964211385660474,36257.1589717865,350044.0,25270,2780.5510862585616,866.8993282035195,24,IPPO
1548900.575867653,1022927.2546386719,365584.8738708496,127145.0,33243.44735813141,237433.78680419922,0.8953720021853917,36558.487228393555,349414.0,25429,2802.540423667594,852.1259711482463,25,IPPO
1512421.1765598059,1009089.6663818359,354533.4029083252,126285.0,22513.107269644737,185421.86270141602,0.8986705791837041,35453.34041404724,349882.0,25257,2764.629222963934,822.4087623880591,26,IPPO
1488614.3664782047,984898.8784179688,356169.61334228516,126710.0,20835.87471795082,200031.41445922852,0.8984319739535084,35616.96126174927,350671.0,25342,2698.3530915560787,723.1527136313314,27,IPPO
1459092.297926426,966237.7399902344,353181.28437805176,126950.0,12723.273558139801,177130.12451171875,0.9001308418714719,35318.1285572052,353644.0,25390,2647.226684904752,695.1709597020741,28,IPPO
1441598.257739544,956388.2418212891,343406.99688720703,127325.0,14478.019031047821,180772.32717895508,0.9037158645035634,34340.69976615906,356660.0,25465,2620.2417584144905,669.676050154248,29,IPPO
1777274.3050260544,825395.0285644531,834032.7938537598,89765.0,28081.48260784149,1821292.3115234375,0.7457077547008895,83403.27919769287,327982.0,17953,2261.3562426423373,570.3785529401567,0,EOQ
1783860.8354207277,830217.986328125,835393.6480865479,89875.0,28374.20100605488,1819294.8700714111,0.7451164302519534,83539.364402771,327755.0,17975,2274.5698255565067,571.4907608592648,1,EOQ
1770052.164960146,829598.0944824219,823793.2762756348,90180.0,26480.79420208931,1806523.4154968262,0.7488496390171963,82379.3276052475,328008.0,18036,2272.871491732663,590.6933413762141,2,EOQ
1773530.7028300762,817492.8843994141,837111.3144073486,90060.0,28866.504023313522,1829308.3881835938,0.7452669734443322,83711.13138580322,328623.0,18012,2239.7065326011343,579.8349920596511,3,EOQ
1772635.376913786,825057.0041503906,827038.0984039307,90650.0,29890.274359464645,1836774.6243286133,0.7477034742133287,82703.810338974,327804.0,18130,2260.4301483572344,586.2767549077073,4,EOQ
1759959.1346349716,818723.8023681641,824407.5243225098,90355.0,26472.80794429779,1696699.8772583008,0.7485358772239783,82440.75240325928,327843.0,18071,2243.0789105977096,561.7702424899207,5,EOQ
1773937.0649266243,830580.830078125,825938.0418701172,90640.0,26778.19297838211,1687613.0454711914,0.7483990332171663,82593.80416870117,328273.0,18128,2275.56391802226,611.9406537204853,6,EOQ
1772377.8707704544,825552.8740234375,825963.8914642334,91330.0,29531.10528278351,1673535.3219604492,0.750385652951787,82596.38898086548,330896.0,18266,2261.788695954623,612.8422314277162,7,EOQ
1775038.1376624107,817292.8295898438,840583.5711669922,91135.0,26026.7369055748,1701454.7044067383,0.7488763825951075,84058.35733032227,334729.0,18227,2239.1584372324487,577.0772990178765,8,EOQ
1774644.8792128563,812365.2111816406,843948.5163116455,91640.0,26691.15171957016,1725626.9926757812,0.7490601026088333,84394.85159111023,336315.0,18328,2225.658112826413,585.608373896123,9,EOQ
1785386.0957860947,800108.9210205078,861837.1723022461,92080.0,31360.00246334076,1753488.5057373047,0.7459371228970988,86183.71729660034,339222.0,18416,2192.0792356726242,561.46109369976,10,EOQ
1773424.1068658829,794622.6918945312,858339.1411590576,92335.0,28127.273812294006,1750957.3424377441,0.7495450570571711,85833.91440582275,342712.0,18467,2177.048470943921,547.5804172850266,11,EOQ
1774696.194322586,785161.9432373047,871487.3091125488,92340.0,25706.941972732544,1771675.842376709,0.7473195448887242,87148.73092651367,344897.0,18468,2151.128611609054,554.8036480480722,12,EOQ
1775131.8923768997,780286.7149658203,875958.1210327148,92585.0,26302.056378364563,1776821.1879882812,0.7466161454711226,87595.81204605103,345704.0,18517,2137.7718218241653,525.6698028020049,13,EOQ
1784448.7244513035,791058.5172119141,872102.6366271973,92760.0,28527.570612192154,1779509.2414245605,0.747758397728035,87210.26381111145,345741.0,18552,2167.2836087997644,555.8689728420137,14,EOQ
1793079.6427874565,788683.0346679688,881387.4299621582,92815.0,30194.17815732956,1800966.786895752,0.7451812638662075,88138.74300384521,345888.0,18563,2160.77543744649,558.1237272332237,15,EOQ
1784359.571918726,780061.2081298828,880698.9389343262,93315.0,30284.424854516983,1798526.3991088867,0.7468106385113449,88069.89387893677,347842.0,18663,2137.153994876391,539.7830762838319,16,EOQ
1784427.5028033257,780573.5985107422,882739.3965148926,93185.0,27929.507777690887,1787790.5345458984,0.7463596611922181,88273.93983459473,348028.0,18637,2138.5578041390195,538.7853260893608,17,EOQ
1793238.9458699226,787187.9703369141,882860.3181915283,93295.0,29895.657341480255,1797914.8904418945,0.7462877377763598,88286.03187179565,347977.0,18659,2156.679370786066,559.7229201989603,18,EOQ
1790695.686062336,779063.6571044922,888226.6899719238,93545.0,29860.338985919952,1820402.041809082,0.7455273262208799,88822.66889190674,349046.0,18709,2134.420978368472,530.1153174967432,19,EOQ
1779483.3486948013,777780.7086181641,878206.7291259766,93850.0,29645.910950660706,1796594.165435791,0.7481129474405147,87820.67276191711,348651.0,18770,2130.906051008669,536.2570681346162,20,EOQ
1781709.562747717,779842.3269042969,879434.5815124512,93660.0,28772.654330968857,1792347.2961425781,0.7482445728725569,87943.45755958557,349321.0,18732,2136.554320285745,555.9203622606952,21,EOQ
1779070.359055519,776722.3255615234,879316.7911071777,93915.0,29116.242386817932,1807146.2940673828,0.7484208900673195,87931.67892456055,349519.0,18783,2128.006371401434,570.3381080047898,22,EOQ
1784853.9845881462,777090.7153320312,880132.5742492676,94205.0,33425.69500684738,1828216.5711669922,0.7481954118224803,88013.25770568848,349530.0,18841,2129.0156584439214,554.2054940000884,23,EOQ
1788640.4910845757,780388.2171630859,883827.7854003906,94160.0,30264.48852109909,1829685.2110595703,0.747509517512314,88382.77845191956,350044.0,18832,2138.049910035852,563.7147469821282,24,EOQ
1797850.7739417553,783291.0974121094,889448.2059326172,94180.0,30931.470597028732,1858374.6542358398,0.7454457447572741,88944.82054138184,349414.0,18836,2146.0030066085187,564.4170970011199,25,EOQ
1762491.3105511665,769041.2861328125,872800.3321228027,94230.0,26419.6922955513,1683430.8045654297,0.7505443737150767,87280.03343582153,349882.0,18846,2106.96242776113,509.2324096339664,26,EOQ
1794526.8583106995,790826.8095703125,880650.637878418,94495.0,28554.410861968994,1664032.337463379,0.7488669902078184,88065.0636768341,350671.0,18899,2166.648793343322,614.2934949353397,27,EOQ
1789361.7793655396,778071.5748291016,889814.2486572266,94730.0,26745.955879211426,1679143.5684814453,0.7483870081533666,88981.42488861084,353644.0,18946,2131.7029447372647,584.7410126775982,28,EOQ
1784736.190229416,774689.3035888672,888067.4789733887,95280.0,26699.407667160034,1674108.221130371,0.7510044641772302,88806.74780654907,356660.0,19056,2122.4364481886773,559.8879637000346,29,EOQ
1539275.124145031,845179.9405517578,531884.5352478027,145125.0,17085.64834547043,447375.4758605957,0.8378311806481799,53188.45370864868,327982.0,29025,2315.56148096372,737.0470278980014,0,"(s,S)"
