policy,total_cost_mean,total_cost_std,holding_cost_mean,holding_cost_std,stockout_cost_mean,stockout_cost_std,ordering_cost_mean,ordering_cost_std,overflow_cost_mean,overflow_cost_std,fill_rate_mean,fill_rate_std,avg_inventory_mean,avg_inventory_std,n_order_events_mean,n_order_events_std,inventory_std_mean,inventory_std_std,service_penalty_shaping_mean,service_penalty_shaping_std
"(s,S)",1003584.2619680876,19087.58762060127,803996.9547587077,21926.083242372148,37392.90219815572,725.0292340142587,149454.83333333334,1900.4643186434184,12739.571677890915,1154.4269217270291,0.8422564895672454,0.0027216588816892867,2202.7313829005693,60.07146093800587,29890.966666666667,380.0928637286834,707.3823146123995,35.30226725509379,365988.0598564148,35446.40629143616
EOQ,951263.3101633027,16154.219736915113,785408.1833129883,19110.315960637145,52599.25741726557,1225.6252375340628,92852.83333333333,1361.061758038702,20403.036099715515,1303.4939196696887,0.750109099999196,0.001928814645377196,2151.8032419533924,52.357030029142855,18570.566666666666,272.2123516077403,553.6074456063087,20.418267152707752,1699353.3680554708,50506.56805148482
IPPO,987744.9962578844,23110.236313919217,820119.199617513,25074.484135688162,38313.58253523509,581.0368351177029,125492.16666666667,1711.2375453985373,3820.0474384696527,750.0639295246698,0.8521410174497429,0.0012265159052722103,2246.9019167603096,68.69721681010454,25098.433333333334,342.2475090797078,891.2048916563707,37.242145605244964,189977.18820521038,8303.85961943575
Newsvendor,1039679.5802979445,16648.99805953273,805052.6062683106,19449.533482539195,38400.37515001297,725.1611751653201,184621.66666666666,2229.5369603285903,11604.932212954263,1136.9528737161488,0.8446581986957354,0.002592672028965014,2205.6235788172894,53.28639310284708,36924.333333333336,445.90739206571783,767.0147826856667,31.777307909011018,337181.5926017761,28810.409095468778
