policy,total_cost_mean,total_cost_std,holding_cost_mean,holding_cost_std,stockout_cost_mean,stockout_cost_std,ordering_cost_mean,ordering_cost_std,overflow_cost_mean,overflow_cost_std,fill_rate_mean,fill_rate_std,avg_inventory_mean,avg_inventory_std,n_order_events_mean,n_order_events_std,inventory_std_mean,inventory_std_std,service_penalty_shaping_mean,service_penalty_shaping_std
"(s,S)",1520889.2636902889,15855.934534297257,810430.6493408203,25043.658565854617,543938.396514384,12349.994336667118,148842.83333333334,2355.7770821789672,17677.384501751265,1197.3017524518978,0.8409558095268387,0.0024711838259834475,2220.357943399508,68.61276319412225,29768.566666666666,471.1554164357862,708.9354521277944,41.2048707353173,432060.39926605223,30862.597393101973
EOQ,1780497.4498057326,9194.370908495932,796227.6389119466,20635.944691103792,863184.906497701,23902.102205017156,92553.0,1636.520488825248,28531.904396084945,1863.120922585033,0.7476658712186561,0.0016625631062782828,2181.445586060128,56.53683477014778,18510.6,327.3040977650496,564.4278420668163,25.01318807073867,1768308.5149297079,59342.40506536344
IPPO,1518471.235240686,28090.650046487706,1021772.7010538738,29642.5130166699,350131.2790878296,6747.159513994757,124151.5,2031.6818877726453,22415.755098982652,4048.8018008272575,0.8976102422264305,0.001960957665640943,2799.377263161298,81.21236442923309,24830.3,406.336377554532,803.8362821857863,55.80105103944417,191407.34047698975,11118.876591378297
Newsvendor,1549519.139278245,15559.157673413116,814233.100604248,25936.490866308464,535446.1666356404,12838.518494270806,184137.33333333334,2683.252572497814,15702.53870502313,1260.6215311684778,0.8434475853016767,0.0021607887523419542,2230.7756180938304,71.0588790857767,36827.46666666667,536.6505144995621,778.9981324202039,38.206957781784126,414824.49091033934,23299.678822332728
