episode,global_step,elapsed_s,reward_raw,reward_smooth,fill_rate,stockout,cost_holding,cost_stockout,cost_ordering,cost_overflow,cost_service_penalty,cost_total,entropy,approx_kl,clip_frac,value_loss,explained_variance,lr_scale,ent_coef,eval_reward,eval_cost,eval_fill,eval_feasible
11,4015,15.1,-13709090.249712143,-16637391.937521057,0.11201012229846297,243162.7081604004,1859986.2683105469,2431627.086303711,390115.0,4575297.552185059,4452064.354667664,13709090.26146698,1.673666924238205,0.011369202169111017,0.07182204924327762,1.9535624369194633,0.01824265718460083,,0.019712,nan,nan,nan,
12,4380,19.1,-14596277.565991163,-16467299.073226899,0.1457547183903385,293564.8080062866,1837906.7165527344,2935648.0731811523,368105.0,3978863.0971679688,5475754.679275513,14596277.566177368,1.5931874937132786,0.00999066591492393,0.05873964545562079,1.5500019349549945,0.0062403082847595215,,0.019604000000000003,nan,nan,nan,
13,4745,19.7,-13810451.273497056,-16262926.165555371,0.13240528594115142,269392.4966888428,1846429.7038574219,2693924.9565429688,361315.0,3902158.889190674,5006622.742286682,13810451.291877747,1.5931874937132786,0.00999066591492393,0.05873964545562079,1.5500019349549945,0.0062403082847595215,,0.019604000000000003,nan,nan,nan,
14,5110,20.3,-13742349.713922929,-16082884.990438769,0.14473127978325662,272153.3489227295,1843006.6298828125,2721533.4794921875,359285.0,3805403.593017578,5013121.002189636,13742349.704582214,1.5931874937132786,0.00999066591492393,0.05873964545562079,1.5500019349549945,0.0062403082847595215,,0.019604000000000003,nan,nan,nan,
15,5475,25.2,-16070746.5799731,-16082075.76307439,0.14769007987958138,371722.18701171875,1821418.2705078125,3717221.853515625,324905.0,3183726.5992126465,7023474.8436050415,16070746.566841125,1.4926393471266095,0.010334888667593509,0.10160693790959685,1.1566171050071716,-0.006890058517456055,,0.019496,nan,nan,nan,
16,5840,25.7,-15731239.480382927,-16060148.495406177,0.16732863725293867,351014.2783087492,1812083.3132324219,3510142.788092613,324510.0,3139526.769165039,6944976.593170166,15731239.46366024,1.4926393471266095,0.010334888667593509,0.10160693790959685,1.1566171050071716,-0.006890058517456055,,0.019496,nan,nan,nan,
17,6205,29.7,-15684867.87917055,-16038073.165039375,0.16288090835809932,352308.26667022705,1816143.6774902344,3523082.6830444336,316940.0,3049673.2463378906,6979028.274345398,15684867.881217957,1.3845240144353164,0.011254544007514548,0.05310593986896014,1.6995921668253446,0.03459697961807251,,0.019424000000000004,nan,nan,nan,
18,6570,30.3,-14301025.624283511,-15941570.52388627,0.21713668884211468,331885.50640565157,1783410.271484375,3318855.0606689453,283110.0,2475408.794067383,6440241.497879028,14301025.624099731,1.3845240144353164,0.011254544007514548,0.05310593986896014,1.6995921668253446,0.03459697961807251,,0.019424000000000004,nan,nan,nan,
19,6935,30.8,-15382970.92593337,-15912170.545046642,0.14995222979176004,367901.5249938965,1815587.32421875,3679015.2639160156,280505.0,2619055.6720581055,6988807.654148102,15382970.914340973,1.3845240144353164,0.011254544007514548,0.05310593986896014,1.6995921668253446,0.03459697961807251,,0.019424000000000004,nan,nan,nan,
20,7300,34.9,-11382014.595775923,-15685662.747583106,0.10482902200176725,238539.79119110107,1857287.2275390625,2385397.899963379,259975.0,2502714.5885009766,4376639.8835372925,11382014.59954071,1.250179416254947,0.014518217352480477,0.03441472639219443,1.0956210541097742,0.05837053060531616,,0.019316,nan,nan,nan,
21,7665,35.4,-13628550.912904164,-15513974.503820587,0.22170907408534324,335390.4652862549,1768374.7082519531,3353904.646484375,231070.0,1863156.9941101074,6412044.535945892,13628550.884792328,1.250179416254947,0.014518217352480477,0.03441472639219443,1.0956210541097742,0.05837053060531616,,0.019316,nan,nan,nan,
22,8030,35.9,-14361662.775238665,-15376263.79198793,0.17410726790160214,347488.5857812762,1791316.259765625,3474885.8773441315,228580.0,2023141.1333312988,6843739.510375977,14361662.780817032,1.250179416254947,0.014518217352480477,0.03441472639219443,1.0956210541097742,0.05837053060531616,,0.019316,nan,nan,nan,
23,8395,40.1,-13330687.46750489,-15092758.447819015,0.22896666931692622,332128.0044250488,1763888.4350585938,3321280.037475586,209170.0,1718347.9679107666,6318000.989181519,13330687.429626465,1.1193027653192218,0.009256371332986945,0.030479297326804187,1.0096799095994549,0.06538671255111694,,0.019208000000000003,nan,nan,nan,
24,8760,40.5,-14152081.514040878,-14971241.901636427,0.14751215279430563,363782.13903808594,1809923.9206542969,3637821.3822021484,189065.0,1651931.2888793945,6863339.93598938,14152081.52772522,1.1193027653192218,0.009256371332986945,0.030479297326804187,1.0096799095994549,0.06538671255111694,,0.019208000000000003,nan,nan,nan,
25,9125,41.9,-14352588.992141224,-14765823.275441015,0.1488227651114319,370893.67068481445,1800568.3486328125,3708936.703857422,190345.0,1647702.835144043,7005036.089664459,14352588.977298737,1.1193027653192218,0.009256371332986945,0.030479297326804187,1.0096799095994549,0.06538671255111694,,0.019208000000000003,-12371525.488893464,3354713.0,0.009236655148316453,False
26,9490,46.5,-13846408.126409836,-14647846.346409556,0.17984420296240922,346539.6087664962,1786518.6243896484,3465396.1126585007,175400.0,1681829.3703460693,6737264.017408371,13846408.12480259,1.01772404187604,0.005155276171104848,0.019384016037771578,0.8924361765384674,0.0758737325668335,,0.0191,-12371525.488893464,3354713.0,0.009236655148316453,
27,9855,47.0,-13014661.914223753,-14408972.588358993,0.2280375227710394,326624.27177786827,1751561.0759277344,3266242.7083797455,172125.0,1529638.4647216797,6295094.64743042,13014661.89645958,1.01772404187604,0.005155276171104848,0.019384016037771578,0.8924361765384674,0.0758737325668335,,0.0191,-12371525.488893464,3354713.0,0.009236655148316453,
28,10220,47.5,-11833192.502427923,-14256104.794769317,0.16513031464203598,288332.26427459717,1809819.1689453125,2883322.635131836,166460.0,1625931.2555847168,5347659.456687927,11833192.516349792,1.01772404187604,0.005155276171104848,0.019384016037771578,0.8924361765384674,0.0758737325668335,,0.0191,-12371525.488893464,3354713.0,0.009236655148316453,
29,10585,51.7,-10771514.329627026,-13987851.327058997,0.19324934764497337,255881.13816070557,1801232.9677734375,2558811.3685302734,153325.0,1601684.1299438477,4656460.856452942,10771514.3227005,0.9732389206949034,0.0030595668048542727,0.01165798253771898,0.7993367494721162,0.10287374258041382,,0.018992000000000002,-12371525.488893464,3354713.0,0.009236655148316453,
30,10950,52.2,-12636125.71834646,-13816925.407075375,0.25699254042745934,313410.94855213165,1736715.6795654297,3134109.473711014,163630.0,1577982.7258415222,6023687.845062256,12636125.724180222,0.9732389206949034,0.0030595668048542727,0.01165798253771898,0.7993367494721162,0.10287374258041382,,0.018992000000000002,-12371525.488893464,3354713.0,0.009236655148316453,
31,11315,56.5,-12761268.445270462,-13769534.31685329,0.2491373167204114,316213.054397583,1730119.9655761719,3162130.5462646484,159940.0,1671346.498889923,6037731.440231323,12761268.450962067,0.9375018312742835,0.0026471916147497005,0.015852007941391907,0.5577133792011362,0.17313039302825928,,0.01892,-12371525.488893464,3354713.0,0.009236655148316453,
32,11680,57.0,-10105438.756317858,-13544992.376369625,0.2102824436912385,234183.63386535645,1794508.853515625,2341836.326904297,140210.0,1610624.1154174805,4218259.466443062,10105438.762280464,0.9375018312742835,0.0026471916147497005,0.015852007941391907,0.5577133792011362,0.17313039302825928,,0.01892,-12371525.488893464,3354713.0,0.009236655148316453,
33,12045,57.5,-11769615.876654485,-13442950.606527496,0.31246549327339423,290506.0177307129,1698911.388671875,2905060.1584472656,150795.0,1743306.072845459,5271543.262798309,11769615.882762909,0.9375018312742835,0.0026471916147497005,0.015852007941391907,0.5577133792011362,0.17313039302825928,,0.01892,-12371525.488893464,3354713.0,0.009236655148316453,
34,12410,61.6,-9790644.828486359,-13245365.362255666,0.4449866647003581,239374.47644805908,1610122.4382324219,2393744.7602539062,160275.0,1597643.608039856,4028859.0279541016,9790644.834480286,0.9108387780816931,0.0022751007876841436,0.01657613116855684,0.39214622111696945,0.24973666667938232,,0.018812000000000002,-12371525.488893464,3354713.0,0.009236655148316453,
35,12775,62.2,-9444806.661652934,-12914068.36633966,0.2313006674733109,206341.96183013916,1800221.2563476562,2063419.6211547852,136450.0,1719344.1668701172,3725371.6257629395,9444806.670135498,0.9108387780816931,0.0022751007876841436,0.01657613116855684,0.39214622111696945,0.24973666667938232,,0.018812000000000002,-12371525.488893464,3354713.0,0.009236655148316453,
36,13140,62.7,-9279794.756933054,-12591496.130167166,0.4922904810962573,237575.05372822285,1558950.7885742188,2375750.5290575027,165875.0,1739967.2112073898,3439251.2155914307,9279794.744430542,0.9108387780816931,0.0022751007876841436,0.01657613116855684,0.39214622111696945,0.24973666667938232,,0.018812000000000002,-12371525.488893464,3354713.0,0.009236655148316453,
37,13505,66.8,-8299730.040458862,-12222239.23823158,0.5617136813507512,210194.6675567627,1510945.5617675781,2101946.670654297,172600.0,1716245.528503418,2797992.2627716064,8299730.023696899,0.9587411127592388,0.003402726593441529,0.024603592746547963,0.2147716511236994,0.36676114797592163,,0.018704000000000005,-12371525.488893464,3354713.0,0.009236655148316453,
38,13870,67.4,-9786053.152533099,-11996490.61464406,0.46847885210640783,226314.79499816895,1625194.9165039062,2263147.9540405273,159395.0,2015354.079788208,3722961.201778412,9786053.152111053,0.9587411127592388,0.003402726593441529,0.024603592746547963,0.2147716511236994,0.36676114797592163,,0.018704000000000005,-12371525.488893464,3354713.0,0.009236655148316453,
39,14235,67.9,-9882384.49535211,-11721461.293114997,0.4646318289275614,226316.72232562304,1625514.6123046875,2263167.2203187943,167840.0,1985905.220211029,3839957.4496154785,9882384.50244999,0.9587411127592388,0.003402726593441529,0.024603592746547963,0.2147716511236994,0.36676114797592163,,0.018704000000000005,-12371525.488893464,3354713.0,0.009236655148316453,
40,14600,72.3,-9028881.0351584,-11603804.615084123,0.4365122133939483,196138.26527404785,1692605.2705078125,1961382.6535644531,151305.0,1951883.0536193848,3271705.0488586426,9028881.026550293,0.9870697346172834,0.003724236968274023,0.03687353304734355,0.25438931015761274,0.4025923013687134,,0.018596,-12371525.488893464,3354713.0,0.009236655148316453,
41,14965,72.8,-9001070.56706311,-11372430.59779207,0.5307269227919373,198514.71275901794,1589146.7937011719,1985147.1290855408,171730.0,2183997.672149658,3071048.9493408203,9001070.544277191,0.9870697346172834,0.003724236968274023,0.03687353304734355,0.25438931015761274,0.4025923013687134,,0.018596,-12371525.488893464,3354713.0,0.009236655148316453,
