episode,global_step,elapsed_s,reward_raw,reward_smooth,fill_rate,stockout,cost_holding,cost_stockout,cost_ordering,cost_overflow,cost_service_penalty,cost_total,entropy,approx_kl,clip_frac,value_loss,explained_variance,lr_scale,ent_coef,eval_reward,eval_cost,eval_fill,eval_feasible
11,4015,21.7,-16474634.564302232,-17525394.521558285,0.20922358460840207,334285.7048549056,1800269.0261230469,3342857.063738823,390315.0,4442533.559082031,6498659.92855835,16474634.57750225,1.6761035417255603,0.011637144806483871,0.07998737526175223,1.6032351898519617,0.009546995162963867,,0.019856,nan,nan,nan,
12,4380,27.4,-14746925.202399682,-17293855.4116284,0.28244389949919513,336258.26959228516,1752713.4658203125,3362582.7053222656,367265.0,3533236.6867370605,5731127.359031677,14746925.216911316,1.5904921293258667,0.01045573285754424,0.06253961929561276,1.2883691458325637,0.04744827747344971,,0.019802,nan,nan,nan,
13,4745,28.2,-15472007.963115681,-17153713.300204344,0.15706378778781183,333651.8544540405,1826259.3696289062,3336518.5291748047,357785.0,3694672.5650177,6256772.4672966,15472007.931118011,1.5904921293258667,0.01045573285754424,0.06253961929561276,1.2883691458325637,0.04744827747344971,,0.019802,nan,nan,nan,
14,5110,29.1,-16511124.620044053,-17107814.108764324,0.15918466618232263,353599.0029296875,1817773.1118164062,3535990.015625,358395.0,3810974.567260742,6987991.893070221,16511124.58777237,1.5904921293258667,0.01045573285754424,0.06253961929561276,1.2883691458325637,0.04744827747344971,,0.019802,nan,nan,nan,
15,5475,35.3,-14806184.186358716,-16954372.113937285,0.2300571418355455,329329.19860839844,1784290.2082519531,3293291.9938964844,324185.0,3097891.4606933594,6306525.538162231,14806184.201004028,1.4982290832619918,0.009301169804913164,0.04517110187168184,1.115767334636889,0.0668758749961853,,0.019748,nan,nan,nan,
16,5840,35.9,-15386222.883387998,-16856362.78702795,0.18910284870992367,340940.08546561,1799410.6098632812,3409400.8746147156,324435.0,3208879.4045410156,6644097.001495361,15386222.890514374,1.4982290832619918,0.009301169804913164,0.04517110187168184,1.115767334636889,0.0668758749961853,,0.019748,nan,nan,nan,
17,6205,41.3,-15272620.547013283,-16763201.478791794,0.15177001139282154,347173.7484970093,1821478.1423339844,3471737.4938964844,316375.0,3122529.8657836914,6540500.066955566,15272620.568969727,1.3908025998818248,0.01132209674740711,0.04540212532676952,0.9637501906407507,0.06534487009048462,,0.019712,nan,nan,nan,
18,6570,42.0,-15449347.414777877,-16690209.586346576,0.14892918281678302,367297.4836425781,1815690.6259765625,3672974.8247070312,279685.0,2682327.9685058594,6998668.958782196,15449347.37797165,1.3908025998818248,0.01132209674740711,0.04540212532676952,0.9637501906407507,0.06534487009048462,,0.019712,nan,nan,nan,
19,6935,42.6,-13996822.430528138,-16548452.367619291,0.24201709011768202,358040.8073120117,1759787.9145507812,3580408.0595703125,280645.0,2264425.6797790527,6111555.761001587,13996822.414901733,1.3908025998818248,0.01132209674740711,0.04540212532676952,0.9637501906407507,0.06534487009048462,,0.019712,nan,nan,nan,
20,7300,48.1,-14806083.846797442,-16461333.9415782,0.17456813656060888,347581.92880755663,1804094.2475585938,3475819.29118824,262720.0,2401751.73828125,6861698.589752197,14806083.866780281,1.2559423948589123,0.014252133466183486,0.043118660909577125,0.7838976602805289,0.11001348495483398,,0.019658000000000002,nan,nan,nan,
