episode,global_step,elapsed_s,reward_raw,reward_smooth,fill_rate,stockout,cost_holding,cost_stockout,cost_ordering,cost_overflow,cost_service_penalty,cost_total,entropy,approx_kl,clip_frac,value_loss,explained_variance,lr_scale,ent_coef,eval_reward,eval_cost,eval_fill,eval_feasible
1,365,0.5,-18199793.17857239,-18199793.17857239,0.2760722956591921,313472.27882283926,1769832.6279296875,3134722.8035554886,457070.0,7057150.992675781,5781016.760147095,18199793.184308052,,,,,,,0.02,nan,nan,nan,
2,730,1.1,-19574381.42138295,-18887087.299977668,0.19182081514914595,339975.9295120239,1811004.7619628906,3399759.298828125,456240.0,7271235.331787109,6636142.076290131,19574381.468868256,,,,,,,0.02,nan,nan,nan,
3,1095,6.3,-18287676.955122396,-18687283.851692576,0.18135377285491283,310731.0924987793,1823857.5446777344,3107310.9274902344,453130.0,7161254.085449219,5742124.394193649,18287676.951810837,1.7786773427536613,0.013349432106176545,0.09357331918650552,1.9070680972776914,0.0022675395011901855,,0.019964000000000003,nan,nan,nan,
4,1460,6.9,-18193287.648152757,-18563784.80080762,0.2116745245240823,332723.01515579224,1800850.0764160156,3327230.1387939453,439495.0,6181577.410644531,6444135.013320923,18193287.639175415,1.7786773427536613,0.013349432106176545,0.09357331918650552,1.9070680972776914,0.0022675395011901855,,0.019964000000000003,nan,nan,nan,
5,1825,7.5,-18047050.719501223,-18460437.98454634,0.17694508363956485,334497.74855804443,1820433.3918457031,3344977.4692382812,439050.0,6221285.1357421875,6221304.683704376,18047050.680530548,1.7786773427536613,0.013349432106176545,0.09357331918650552,1.9070680972776914,0.0022675395011901855,,0.019964000000000003,nan,nan,nan,
6,2190,12.6,-15773907.691561973,-18012682.935715612,0.13435868405016227,257168.1847076416,1851851.2697753906,2571681.8539733887,429510.0,6158219.678344727,4762644.863632202,15773907.665725708,1.7398358552079451,0.01105455053431414,0.07528981007635593,1.5471570350621875,0.051833271980285645,,0.019910000000000004,nan,nan,nan,
7,2555,13.2,-17631020.991363183,-17958159.800808124,0.171057181585885,349641.44926452637,1819694.6298828125,3496414.48236084,417910.0,5361252.362487793,6535749.554748535,17631021.02947998,1.7398358552079451,0.01105455053431414,0.07528981007635593,1.5471570350621875,0.051833271980285645,,0.019910000000000004,nan,nan,nan,
8,2920,13.9,-16620243.56275982,-17790920.271052085,0.2511441313064672,323874.92121887207,1777421.5166015625,3238749.219970703,417440.0,5128133.965881348,6058498.845779419,16620243.548233032,1.7398358552079451,0.01105455053431414,0.07528981007635593,1.5471570350621875,0.051833271980285645,,0.019910000000000004,nan,nan,nan,
9,3285,19.0,-16850562.723981485,-17686436.09915535,0.16013829235191746,340802.44317626953,1826281.5007324219,3408024.442993164,402065.0,4816053.609161377,6398138.208263397,16850562.76115036,1.672631445683931,0.01278544478296489,0.08266328501907226,1.3315177136345913,0.06532198190689087,,0.019856,nan,nan,nan,
10,3650,19.6,-14969826.848885454,-17414775.17412836,0.30221076595149476,326412.54569244385,1747317.3950195312,3264125.4556884766,393615.0,4000443.0197753906,5564325.947341919,14969826.817825317,1.672631445683931,0.01278544478296489,0.08266328501907226,1.3315177136345913,0.06532198190689087,,0.019856,nan,nan,nan,
11,4015,20.3,-15301463.758477848,-17222655.95452377,0.29132274809599146,338886.62715148926,1747646.9208984375,3388866.274169922,392050.0,4155437.1623535156,5617463.400650024,15301463.7580719,1.672631445683931,0.01278544478296489,0.08266328501907226,1.3315177136345913,0.06532198190689087,,0.019856,nan,nan,nan,
12,4380,25.4,-15797043.184162246,-17103854.890326977,0.1601965464472671,332411.8427886963,1826363.3303222656,3324118.451904297,369345.0,4061658.2446289062,6215558.207210541,15797043.23406601,1.6003900719316382,0.008250559201961119,0.044342844171057404,1.2106887745229822,0.05008453130722046,,0.019802,nan,nan,nan,
13,4745,26.0,-16366189.0791556,-17047111.366390716,0.16250317798873315,353882.6071472168,1815880.4040527344,3538826.0659179688,361395.0,3727645.870574951,6922441.735816956,16366189.07636261,1.6003900719316382,0.008250559201961119,0.044342844171057404,1.2106887745229822,0.05008453130722046,,0.019802,nan,nan,nan,
