policy,total_cost_mean,total_cost_std,holding_cost_mean,holding_cost_std,stockout_cost_mean,stockout_cost_std,ordering_cost_mean,ordering_cost_std,overflow_cost_mean,overflow_cost_std,fill_rate_mean,fill_rate_std,avg_inventory_mean,avg_inventory_std,n_order_events_mean,n_order_events_std,inventory_std_mean,inventory_std_std,service_penalty_shaping_mean,service_penalty_shaping_std
"(s,S)",1520337.1916526915,14634.161863822095,807198.348240153,21631.729142928314,545684.1810297648,13513.914842062639,149203.0,1795.1013802894859,18251.662382773557,1335.9966636319875,0.8413019651053925,0.0026724044540031217,2211.502323945625,59.26501135048866,29840.6,359.0202760578982,714.496813596188,36.256929691657916,367667.5289522807,35486.65974253023
EOQ,1779966.2546102046,11243.508470820796,789953.3693237305,18707.505950591236,868000.454288737,23257.588178748363,92864.0,1317.2682024710748,29148.43099773725,1642.8043143731156,0.7476058253157368,0.0019757835143306337,2164.2558063663846,51.253440960523996,18572.8,263.4536404942154,557.8788999939419,20.733665252498884,1708045.5639620463,50643.97590357058
IPPO,1603908.2634937882,19178.59583733448,1117670.4346150716,19056.739135588894,325778.6051277161,5739.141759977071,123494.16666666667,1397.6446216781096,36965.057084333894,4474.556619857053,0.9052402987436355,0.0016875371967930298,3062.1107797673194,52.210244207092835,24698.833333333332,279.52892433562187,768.236864172417,41.72441416090496,106759.36417287191,7419.181170706038
Newsvendor,1545815.5277479826,13800.52856453168,808608.413482666,20075.598410159233,536468.9876856486,13065.662358643864,184571.83333333334,2158.8899938966592,16166.293246334792,1491.7884025062478,0.8439803525205886,0.00262601805245004,2215.3655163908657,55.00163947988827,36914.36666666667,431.7779987793316,774.2663714960339,33.251549438803195,337478.5134910584,28957.652269353377
