policy,avg_total_cost,std_total_cost,avg_service_level,std_service_level,avg_stockout,avg_reward,avg_holding_cost,avg_ordering_cost,avg_inventory
Double DQN,2074649.1232299805,14191.344973116695,0.6364811323156517,0.0002446189234921293,45922.44696807861,-2074649.1232299805,1142874.5,257625.0,10204.242624555314
EOQ,648222.5843505859,1797.0809829906318,0.9567810136185246,0.004423302071462233,5459.435291290283,-648222.5843505859,455703.0,137925.0,4068.7788609095983
"(s,S)",671059.9521484375,6605.326820485608,0.9608690917276954,0.005301435883354834,4942.936820983887,-671059.9521484375,497680.94,123950.0,4443.57664162772
Newsvendor,609808.8881835938,7110.265972445606,0.9062374031008753,0.005388825086769794,11844.4153175354,-609808.8881835938,310664.8,180700.0,2773.792266845703
