total_cost,holding_cost,stockout_cost,ordering_cost,overflow_cost,service_penalty_shaping,fill_rate,stockout_units,demand_units,n_order_events,avg_inventory,inventory_std,episode,policy
1658943.6285145879,765499.619140625,792031.7099456787,83340.0,18072.29942828417,1204368.2404937744,0.76637680029879,79203.17078590393,339021.0,16668,2097.25923052226,690.4659865588994,9,EOQ
1651497.6196393967,764135.3666992188,784896.2216339111,83105.0,19361.031306266785,1195407.6841049194,0.7677924891487197,78489.62178039551,338015.0,16621,2093.5215526005995,701.2605962554825,10,EOQ
1631349.8531495333,794916.5838623047,741626.0863265991,80180.0,14627.182960629463,1123312.0840148926,0.7708449070609122,74162.60850334167,323635.0,16036,2177.853654417273,710.3499158957035,11,EOQ
1669690.6107630879,767015.8856201172,801398.2511291504,83130.0,18146.47401382029,1230941.9326400757,0.7635805052393806,80139.82539749146,338973.0,16626,2101.413385260595,694.7555916464879,12,EOQ
1604870.19420892,792949.5343017578,718494.5428771973,78845.0,14581.117029964924,1182822.8783302307,0.7723653769737463,71849.4542388916,315635.0,15769,2172.4644775390625,709.6796334938226,13,EOQ
1636869.2702994645,760976.4705810547,776866.7736358643,82150.0,16876.02608254552,1176576.326599121,0.7690185689296807,77686.6776561737,336333.0,16430,2084.867042687821,690.0723024430731,14,EOQ
1653887.9584535956,761418.84375,793116.9682617188,82050.0,17302.14644187689,1228567.1439361572,0.7639399356630802,79311.69647598267,335981.0,16410,2086.079023972603,679.2879701473928,15,EOQ
1644492.408094287,760943.3319091797,781962.0438537598,82680.0,18907.032331347466,1195843.0758972168,0.7679252212071013,78196.20426559448,336944.0,16536,2084.7762518059717,680.6290577403471,16,EOQ
1662362.3113051653,751852.9989013672,806796.5547180176,85085.0,18627.757685780525,1210555.6746520996,0.7659620885613104,80679.65517234802,344729.0,17017,2059.871229866759,620.3825122585724,17,EOQ
1634644.1808991432,736462.5850830078,797452.3071594238,83995.0,16734.28865671158,1263007.050064087,0.765417256391966,79745.23077583313,339945.0,16799,2017.7057125561857,539.2261381795826,18,EOQ
1627344.4503569603,789274.2846679688,740668.1886138916,80915.0,16486.977075099945,1106386.7236328125,0.7737782242500507,74066.81915473938,327408.0,16183,2162.3953004601885,697.1371469712184,19,EOQ
1661356.517951727,756272.9255371094,803291.7721252441,83815.0,17976.820289373398,1337947.5468902588,0.7632921455716929,80329.17747879028,339360.0,16763,2071.9806179098887,667.4777178255116,20,EOQ
1611410.8596234322,800630.6295166016,716673.8139801025,79020.0,15086.416126728043,1132758.8787078857,0.7734983670629008,71667.38167762756,316410.0,15804,2193.5085740180866,702.9767050494095,21,EOQ
1655612.0078395605,747961.6071777344,804859.6520996094,83880.0,18910.74856221676,1325196.9268951416,0.7630751857033675,80485.96558952332,339711.0,16776,2049.209882678724,641.2014781094027,22,EOQ
1619392.8836255074,798454.876953125,725940.3072662354,80010.0,14987.699406147003,1080028.1884307861,0.7741318282713116,72594.03039360046,321400.0,16002,2187.5476080907533,719.1170242941525,23,EOQ
1651104.9139435291,768374.5433349609,781704.2927856445,82175.0,18851.07782292366,1185713.7440795898,0.7674827809597501,78170.42890357971,336192.0,16435,2105.1357351642764,695.2602921140214,24,EOQ
1650496.3202738762,766126.8541259766,784734.493057251,83225.0,16409.97309064865,1184904.351409912,0.7683939713374264,78473.44944953918,338823.0,16645,2098.977682536922,687.6287490249173,25,EOQ
1647442.2565768957,766051.5374755859,780014.9041595459,82480.0,18895.814941763878,1187431.8665390015,0.768318826618672,78001.49072933197,336676.0,16496,2098.7713355495507,694.4550139551961,26,EOQ
1648864.421394825,758721.4188232422,787528.2780075073,82480.0,20134.72456407547,1192865.9383544922,0.7662475760035352,78752.82791137695,336907.0,16496,2078.688818693814,700.3122836668449,27,EOQ
