policy,total_cost_mean,total_cost_std,holding_cost_mean,holding_cost_std,stockout_cost_mean,stockout_cost_std,ordering_cost_mean,ordering_cost_std,overflow_cost_mean,overflow_cost_std,fill_rate_mean,fill_rate_std,avg_inventory_mean,avg_inventory_std,n_order_events_mean,n_order_events_std,inventory_std_mean,inventory_std_std,service_penalty_shaping_mean,service_penalty_shaping_std
"(s,S)",1520337.1916526915,14634.161863822095,807198.348240153,21631.729142928314,545684.1810297648,13513.914842062639,149203.0,1795.1013802894859,18251.662382773557,1335.9966636319875,0.8413019651053925,0.0026724044540031217,2211.502323945625,59.26501135048866,29840.6,359.0202760578982,714.496813596188,36.256929691657916,367667.5289522807,35486.65974253023
EOQ,1779966.2546102046,11243.508470820796,789953.3693237305,18707.505950591236,868000.454288737,23257.588178748363,92864.0,1317.2682024710748,29148.43099773725,1642.8043143731156,0.7476058253157368,0.0019757835143306337,2164.2558063663846,51.253440960523996,18572.8,263.4536404942154,557.8788999939419,20.733665252498884,1708045.5639620463,50643.97590357058
IPPO,1589471.6828645905,22330.94396889628,1104308.4345703125,21255.37533550159,324018.374004364,5731.424027323156,127573.0,1478.1165788562325,33571.87428991397,4321.96951876632,0.9057462921181617,0.002003289094785342,3025.5025604666093,58.23390502877138,25514.6,295.6233157712472,768.6688533127332,42.681870820721485,109430.2059094747,7863.7873197205645
Newsvendor,1545815.5277479826,13800.52856453168,808608.413482666,20075.598410159233,536468.9876856486,13065.662358643864,184571.83333333334,2158.8899938966592,16166.293246334792,1491.7884025062478,0.8439803525205886,0.00262601805245004,2215.3655163908657,55.00163947988827,36914.36666666667,431.7779987793316,774.2663714960339,33.251549438803195,337478.5134910584,28957.652269353377
