episode,global_step,elapsed_s,reward_raw,reward_smooth,fill_rate,stockout,cost_holding,cost_stockout,cost_ordering,cost_overflow,cost_service_penalty,cost_total,entropy,approx_kl,clip_frac,value_loss,explained_variance,lr_scale,ent_coef,eval_reward,eval_fill
40,14600,37.4,-2536496.805249851,-3702886.4612941816,0.8709822622064042,76623.72212791443,1270866.0301513672,51992.2981338501,142615.0,418501.40227508545,652522.0756835938,2536496.8062438965,0.8554251766518542,0.0037321838928715137,0.04872024279872054,0.033656155396448936,0.9348204731941223,,0.019298000000000003,-9265627.350581422,0.1143994400099124
41,14965,38.1,-2463541.075576991,-3595751.551125358,0.8384895515768496,89734.00977706909,1100965.3127441406,61954.93815994263,161515.0,381039.43240356445,758066.3918457031,2463541.075153351,0.8554251766518542,0.0037321838928715137,0.04872024279872054,0.033656155396448936,0.9348204731941223,,0.019298000000000003,-9265627.350581422,0.1143994400099124
42,15330,38.7,-2443833.326728032,-3489361.5725837136,0.8346076609337166,83814.53260612488,1106596.3936767578,59562.310156822205,162525.0,423147.65885055065,692001.9642944336,2443833.3269785643,0.8554251766518542,0.0037321838928715137,0.04872024279872054,0.033656155396448936,0.9348204731941223,,0.019298000000000003,-9265627.350581422,0.1143994400099124
43,15695,40.0,-2326314.405491884,-3374098.9787238175,0.8841353081677058,71882.4894361496,1245864.613647461,47495.77240753174,136790.0,317016.8755251169,579147.1455574036,2326314.407137513,0.787229735600321,0.003573626225356987,0.04760956352478579,0.02350267763004491,0.9565868973731995,,0.019244000000000004,-9265627.350581422,0.1143994400099124
44,16060,40.7,-2387989.9608705076,-3252839.003937141,0.8085782235615874,106320.60076141357,1055033.9407958984,70149.42638969421,183380.0,339832.0790719986,739594.5160903931,2387989.9623479843,0.787229735600321,0.003573626225356987,0.04760956352478579,0.02350267763004491,0.9565868973731995,,0.019244000000000004,-9265627.350581422,0.1143994400099124
45,16425,42.0,-2276821.795591119,-3116547.643891816,0.8616077339812501,81749.00296401978,1081571.6842041016,54093.24973297119,152905.0,368365.8934516907,619885.97265625,2276821.8000450134,0.7728639417573026,0.0031794842362184057,0.03796815043805461,0.01974683892177908,0.9670189023017883,,0.019208000000000003,-9265627.350581422,0.1143994400099124
46,16790,42.6,-2182208.3041500524,-3008510.437486378,0.8461022252905859,78233.11210632324,1061278.1619873047,54763.80863952637,157490.0,316145.2735937834,592531.063079834,2182208.3073004484,0.7728639417573026,0.0031794842362184057,0.03796815043805461,0.01974683892177908,0.9670189023017883,,0.019208000000000003,-9265627.350581422,0.1143994400099124
47,17155,43.3,-2141741.367894966,-2902350.8316153525,0.860428599788718,77017.42205047607,1063996.2137451172,51899.66202545166,153070.0,346781.9382350445,525993.5489120483,2141741.3629176617,0.7728639417573026,0.0031794842362184057,0.03796815043805461,0.01974683892177908,0.9670189023017883,,0.019208000000000003,-9265627.350581422,0.1143994400099124
48,17520,44.6,-2145755.4679840216,-2788718.8259741804,0.8984498187287213,64443.7281332016,1251772.2707519531,42420.73639583588,129020.0,250927.47288417816,471614.98265075684,2145755.462682724,0.7131499365756386,0.0029142535829937274,0.03479833778386053,0.01369172110418348,0.9787670373916626,,0.019154000000000004,-9265627.350581422,0.1143994400099124
49,17885,45.2,-2282203.771652462,-2703375.1972636976,0.817770039708647,102919.80892848969,1039188.2469482422,66621.80438041687,177640.0,307553.68677425385,691200.0314788818,2282203.7695817947,0.7131499365756386,0.0029142535829937274,0.03479833778386053,0.01369172110418348,0.9787670373916626,,0.019154000000000004,-9265627.350581422,0.1143994400099124
50,18250,47.0,-2097287.207940519,-2624618.8397982134,0.9167099317459211,53555.19981145859,1344269.916015625,35509.08404254913,116140.0,200267.4846591875,401100.731754303,2097287.2164716646,0.7131499365756386,0.0029142535829937274,0.03479833778386053,0.01369172110418348,0.9787670373916626,,0.019154000000000004,-2553729.0883914502,0.6562341990536207
