episode,global_step,elapsed_s,reward_raw,reward_smooth,fill_rate,stockout,cost_holding,cost_stockout,cost_ordering,cost_overflow,cost_service_penalty,cost_total,entropy,approx_kl,clip_frac,value_loss,explained_variance,lr_scale,ent_coef,eval_reward,eval_fill
40,14600,37.0,-2553021.853801293,-3692095.9692912837,0.8718424343083003,76968.07032966614,1271609.6881103516,52125.18318939209,143470.0,422865.89638745785,662951.0800170898,2553021.8477042913,0.856645046096099,0.0037536969876830546,0.04895528170623278,0.033350532555854635,0.935171902179718,,0.019859600000000005,-9265627.350581422,0.1143994400099124
41,14965,37.6,-2452764.168185805,-3584666.3979592333,0.8396196464969687,89214.26420593262,1102387.9154052734,61528.103775024414,162420.0,378748.83719062805,747679.3135375977,2452764.1699085236,0.856645046096099,0.0037536969876830546,0.04895528170623278,0.033350532555854635,0.935171902179718,,0.019859600000000005,-9265627.350581422,0.1143994400099124
42,15330,38.3,-2434613.604834996,-3478270.4820386544,0.8353228528205663,83385.37003326416,1106361.4208984375,59357.25667285919,163500.0,422933.96103715897,682460.9686279297,2434613.6072363853,0.856645046096099,0.0037536969876830546,0.04895528170623278,0.033350532555854635,0.935171902179718,,0.019859600000000005,-9265627.350581422,0.1143994400099124
43,15695,39.6,-2315754.7450900017,-3362551.931646251,0.8844889100283793,71440.71313667297,1245058.9044189453,47287.59786224365,137155.0,314802.25721883774,571450.9872932434,2315754.74679327,0.7876309423070205,0.0035372413527320055,0.04756967649844132,0.023556372028236326,0.9563813209533691,,0.0198488,-9265627.350581422,0.1143994400099124
44,16060,40.2,-2387983.881405369,-3241318.823537094,0.8086613416671753,106325.70057296753,1053249.0009765625,70120.92771148682,183620.0,336252.3100554943,744741.6421890259,2387983.8809325695,0.7876309423070205,0.0035372413527320055,0.04756967649844132,0.023556372028236326,0.9563813209533691,,0.0198488,-9265627.350581422,0.1143994400099124
45,16425,41.5,-2277398.1827574978,-3104983.3286379115,0.8621377379926917,82015.47442626953,1079904.793334961,54219.621952056885,153285.0,366940.69027876854,623048.0799560547,2277398.185521841,0.7716345167473743,0.0031662942221469407,0.03761425359468711,0.019757953840062806,0.9669435620307922,,0.0198416,-9265627.350581422,0.1143994400099124
46,16790,42.2,-2181510.9376064194,-2998287.7009945572,0.8465136867679962,78155.00957298279,1060973.4431152344,54645.16259765625,158070.0,317588.0977900028,590234.2342224121,2181510.9377253056,0.7716345167473743,0.0031662942221469407,0.03761425359468711,0.019757953840062806,0.9669435620307922,,0.0198416,-9265627.350581422,0.1143994400099124
47,17155,42.8,-2125786.803453142,-2892150.089746422,0.8612660300241758,76906.84438896179,1060934.453491211,51801.76315498352,153405.0,336955.35168254375,522690.2329940796,2125786.801322818,0.7716345167473743,0.0031662942221469407,0.03761425359468711,0.019757953840062806,0.9669435620307922,,0.0198416,-9265627.350581422,0.1143994400099124
48,17520,44.1,-2146019.0269449297,-2780300.443057297,0.8986139139083967,64637.6300907135,1251263.265258789,42475.56423854828,129085.0,248125.51318883896,475069.68853759766,2146019.031223774,0.7128900940480986,0.002954545599861472,0.03554815999967487,0.01381393350464733,0.9785630702972412,,0.019830800000000003,-9265627.350581422,0.1143994400099124
49,17885,44.8,-2288350.147233374,-2696224.5417291066,0.8177331099771473,103401.14646339417,1039938.7779541016,66830.29761314392,177560.0,309587.4144459069,694433.6564178467,2288350.146430999,0.7128900940480986,0.002954545599861472,0.03554815999967487,0.01381393350464733,0.9785630702972412,,0.019830800000000003,-9265627.350581422,0.1143994400099124
50,18250,46.6,-2093208.1021169764,-2617990.1531475703,0.9168380990420302,53234.6343164444,1343863.8505859375,35278.51837062836,116345.0,200118.820369713,397601.91818618774,2093208.1075124666,0.7128900940480986,0.002954545599861472,0.03554815999967487,0.01381393350464733,0.9785630702972412,,0.019830800000000003,-2495285.3240247094,0.6591106230265473
51,18615,48.0,-2014106.3542543217,-2539617.2555626985,0.9163524728931792,52918.93113708496,1315635.140258789,35083.75587272644,115725.0,179490.10653448105,368172.35122680664,2014106.3538928032,0.6709928018482108,0.002071116469347831,0.021204362868478422,0.014195355476419392,0.9797648787498474,,0.019820000000000004,-2495285.3240247094,0.6591106230265473
52,18980,48.6,-2185668.6215228876,-2480659.4580055512,0.8236033315527929,97754.52214622498,1022852.5578613281,63462.81447601318,174545.0,283644.2702847123,641163.974822998,2185668.6174450517,0.6709928018482108,0.002071116469347831,0.021204362868478422,0.014195355476419392,0.9797648787498474,,0.019820000000000004,-2495285.3240247094,0.6591106230265473
53,19345,49.3,-2018023.6952487605,-2420490.832310554,0.9136972001154129,57486.70220184326,1267021.345703125,37493.529660224915,118930.0,204694.98200327158,389883.8356971741,2018023.6930637956,0.6709928018482108,0.002071116469347831,0.021204362868478422,0.014195355476419392,0.9797648787498474,,0.019820000000000004,-2495285.3240247094,0.6591106230265473
54,19710,50.6,-1952676.0502744915,-2368623.719729301,0.8788383758231385,75034.86236190796,1024357.6593017578,47823.286160469055,143350.0,247374.01205778122,489771.0926361084,1952676.0501561165,0.6536653402604555,0.0019703145516311786,0.01728579876209168,0.013363554081144301,0.9814967513084412,,0.0198092,-2495285.3240247094,0.6591106230265473
55,20075,51.3,-1950084.270847375,-2314971.420605558,0.85848836604863,73503.86310958862,1038927.6168212891,50462.19096279144,155165.0,227944.10223978758,477585.36086273193,1950084.2708866,0.6536653402604555,0.0019703145516311786,0.01728579876209168,0.013363554081144301,0.9814967513084412,,0.0198092,-2495285.3240247094,0.6591106230265473
56,20440,52.0,-1920479.6453383567,-2265397.903478734,0.8511544121454839,74313.5347442627,1024821.2150878906,50741.172971725464,160625.0,224356.83074092865,459935.4245185852,1920479.64331913,0.6536653402604555,0.0019703145516311786,0.01728579876209168,0.013363554081144301,0.9814967513084412,,0.0198092,-2495285.3240247094,0.6591106230265473
57,20805,53.4,-1920874.0665633716,-2221238.0270524966,0.9272310714199118,50783.61428165436,1293163.4132080078,32448.992903232574,109870.0,129329.3486250937,356062.3162460327,1920874.0709823668,0.7006023604618875,0.002261819770817391,0.015644006602662176,0.01206664802310498,0.9840766787528992,,0.0197984,-2495285.3240247094,0.6591106230265473
58,21170,54.0,-1918066.562500422,-2187432.9426451037,0.9292851372940899,48749.88483142853,1302823.998046875,31635.386793136597,107535.0,129896.75122642517,346175.4319572449,1918066.5680236816,0.7006023604618875,0.002261819770817391,0.015644006602662176,0.01206664802310498,0.9840766787528992,,0.0197984,-2495285.3240247094,0.6591106230265473
59,21535,55.3,-1875763.781931658,-2150607.7250955724,0.8525795404225179,69279.51603889465,1028409.6019287109,47910.94668006897,160495.0,237652.0051832199,401296.22357177734,1875763.7773637772,0.5494818530584636,0.0016817953562023927,0.014296146881717601,0.009668239759967515,0.9871050119400024,,0.019791200000000002,-2495285.3240247094,0.6591106230265473
60,21900,56.0,-1858109.4227369658,-2115862.1035423568,0.9113892244966063,61234.93059921265,1138433.5516357422,38801.292793273926,119160.0,167159.3164782524,394555.25846862793,1858109.4193758965,0.5494818530584636,0.0016817953562023927,0.014296146881717601,0.009668239759967515,0.9871050119400024,,0.019791200000000002,-2495285.3240247094,0.6591106230265473
61,22265,56.6,-1831722.5725157463,-2084810.0237588536,0.9128909140417021,57532.46354007721,1151867.64453125,36655.56019306183,116980.0,152792.5298010111,373426.8426055908,1831722.5771309137,0.5494818530584636,0.0016817953562023927,0.014296146881717601,0.009668239759967515,0.9871050119400024,,0.019791200000000002,-2495285.3240247094,0.6591106230265473
62,22630,57.9,-1847172.2334379097,-2055437.955188999,0.8563539077157843,70624.61818122864,1021041.5397949219,48485.99965953827,154715.0,209499.54099273682,413430.14529418945,1847172.2257413864,0.5503275253270802,0.001766524419365037,0.017131336964666843,0.009114325769539727,0.9880913496017456,,0.019780400000000004,-2495285.3240247094,0.6591106230265473
63,22995,58.6,-1758879.6266914816,-2027594.199269073,0.848949848625758,75085.54774475098,993101.5203857422,50537.21038246155,157200.0,184465.14550113678,373575.750869751,1758879.6271390915,0.5503275253270802,0.001766524419365037,0.017131336964666843,0.009114325769539727,0.9880913496017456,,0.019780400000000004,-2495285.3240247094,0.6591106230265473
64,23360,59.2,-1787842.9741825764,-1997587.1539079335,0.9255586477175151,49237.950607299805,1213253.1330566406,31782.456776618958,106105.0,115426.08884489536,321276.3051300049,1787842.9838081598,0.5503275253270802,0.001766524419365037,0.017131336964666843,0.009114325769539727,0.9880913496017456,,0.019780400000000004,-2495285.3240247094,0.6591106230265473
65,23725,60.5,-1793116.384623987,-1973373.0640012578,0.8471167325973511,84868.57900810242,975629.5539550781,55320.79962348938,159760.0,176611.66673493385,425794.36280822754,1793116.383121729,0.5750426948070526,0.0011397177550430857,0.008940044214556875,0.010086163902949346,0.9863883256912231,,0.0197696,-2495285.3240247094,0.6591106230265473
66,24090,61.2,-1743939.415386693,-1951494.4878902715,0.8628890478447692,66934.17910194397,1006114.1179199219,46286.190373420715,148630.0,180043.82934844494,362865.27687454224,1743939.4145163298,0.5750426948070526,0.0011397177550430857,0.008940044214556875,0.010086163902949346,0.9863883256912231,,0.0197696,-2495285.3240247094,0.6591106230265473
67,24455,61.8,-1724057.0355744846,-1931407.9994963384,0.8697284625001149,64726.24417114258,1009387.0871582031,44666.712836265564,143635.0,172493.05486559868,353875.180185318,1724057.0350453854,0.5750426948070526,0.0011397177550430857,0.008940044214556875,0.010086163902949346,0.9863883256912231,,0.0197696,-2495285.3240247094,0.6591106230265473
68,24820,63.1,-1875743.7718538446,-1917894.2367417838,0.8421010206823479,87885.07090759277,966516.7277832031,56631.102867126465,164320.0,177820.05570363998,510455.88453674316,1875743.7708907127,0.6234588505406129,0.0011346354893631589,0.007021452267700194,0.010371572117468244,0.985498309135437,,0.0197588,-2495285.3240247094,0.6591106230265473
69,25185,63.7,-1715092.5862465918,-1889231.3586924453,0.9349163257912414,40688.78556680679,1288957.7237548828,26936.948855876923,101410.0,85028.23814831662,212759.6747970581,1715092.5855561346,0.6234588505406129,0.0011346354893631589,0.007021452267700194,0.010371572117468244,0.985498309135437,,0.0197588,-2495285.3240247094,0.6591106230265473
70,25550,64.4,-1705209.9803096289,-1869831.452602078,0.889706565582589,62882.79968738556,1022261.8182373047,40931.50372219086,137200.0,185077.32843017578,319739.32874298096,1705209.9791326523,0.6234588505406129,0.0011346354893631589,0.007021452267700194,0.010371572117468244,0.985498309135437,,0.0197588,-2495285.3240247094,0.6591106230265473
71,25915,65.7,-1826586.023225138,-1860455.4360506185,0.8435278147867281,83841.20146560669,980315.5114746094,54120.6969909668,161825.0,182468.68710148335,447856.1261138916,1826586.0216809511,0.5333267716985,0.0014115237551634077,0.009859587029112797,0.00801081059647626,0.9885917901992798,,0.019748,-2495285.3240247094,0.6591106230265473
72,26280,66.3,-1694661.3191583597,-1835905.070932392,0.8629718911157895,61686.16607284546,1023557.9743652344,43046.782207489014,149225.0,177724.66207551956,301106.90408325195,1694661.322731495,0.5333267716985,0.0014115237551634077,0.009859587029112797,0.00801081059647626,0.9885917901992798,,0.019748,-2495285.3240247094,0.6591106230265473
73,26645,67.6,-1671663.444854061,-1818587.058412657,0.8977377288962064,65156.72466468811,991901.2105712891,40999.94840621948,129280.0,171402.69525045156,338079.59310150146,1671663.4473294616,0.5822333262154931,0.0011809425312477335,0.006114223552255058,0.009218389493119167,0.9863473176956177,,0.019740800000000003,-2495285.3240247094,0.6591106230265473
74,27010,68.3,-1668932.9295321675,-1804399.902375541,0.8927319309482836,62724.92526245117,1001098.4898681641,40304.18630027771,129725.0,174683.7629111707,323121.4849586487,1668932.9240382612,0.5822333262154931,0.0011809425312477335,0.006114223552255058,0.009218389493119167,0.9863473176956177,,0.019740800000000003,-2495285.3240247094,0.6591106230265473
75,27375,70.1,-1837471.4251917158,-1798769.260092758,0.8423529793138373,82404.42119979858,999262.232421875,53260.78731918335,161175.0,177234.860373497,446538.5471191406,1837471.427233696,0.5822333262154931,0.0011809425312477335,0.006114223552255058,0.009218389493119167,0.9863473176956177,,0.019740800000000003,-1579508.5499744767,0.8060233640344175
76,27740,71.4,-1628149.1584167317,-1784152.7357466768,0.8713305092837712,61356.57156085968,1000831.2786865234,42561.835273742676,141450.0,160303.30509853363,283002.74014282227,1628149.159201622,0.5707815069901315,0.001244092730781918,0.00752177992590556,0.008668079518860108,0.9869118928909302,,0.019730000000000004,-1579508.5499744767,0.8060233640344175
77,28105,72.0,-1616364.5744467815,-1768927.261140847,0.8756298974768756,59565.63551521301,1005040.2729492188,41355.671825408936,141645.0,167192.65720677376,261130.9748840332,1616364.5768654346,0.5707815069901315,0.001244092730781918,0.00752177992590556,0.008668079518860108,0.9869118928909302,,0.019730000000000004,-1579508.5499744767,0.8060233640344175
78,28470,72.7,-1623599.10469214,-1754203.8882504334,0.9103443359675473,57604.11755180359,1054592.4187011719,36576.802819252014,118995.0,127952.58896684647,285482.29431915283,1623599.1048064232,0.5707815069901315,0.001244092730781918,0.00752177992590556,0.008668079518860108,0.9869118928909302,,0.019730000000000004,-1579508.5499744767,0.8060233640344175
79,28835,74.0,-1706101.2285010852,-1745720.7605789043,0.9373822504526949,41543.20859861374,1267771.0676269531,27000.529456615448,94965.0,66396.45174431801,249968.1838760376,1706101.2327039242,0.48439071092166397,0.0011931992747505366,0.00851012113669544,0.007071971654352781,0.9887401461601257,,0.019719200000000006,-1579508.5499744767,0.8060233640344175
80,29200,74.6,-1751754.224340306,-1740403.0006590716,0.8531479652613809,83051.68907928467,965310.3171386719,53569.85679626465,150890.0,163777.33552814275,418206.7133026123,1751754.2227656916,0.48439071092166397,0.0011931992747505366,0.00851012113669544,0.007071971654352781,0.9887401461601257,,0.019719200000000006,-1579508.5499744767,0.8060233640344175
81,29565,75.3,-1671383.9691931584,-1732386.070492942,0.9212448907225099,53906.14565372467,1094757.6824951172,33965.7860956192,105950.0,109756.38040924072,326954.11752319336,1671383.9665231705,0.48439071092166397,0.0011931992747505366,0.00851012113669544,0.007071971654352781,0.9887401461601257,,0.019719200000000006,-1579508.5499744767,0.8060233640344175
